Id,ValueAttribute,Value,StringValue,Measure,Type waarde,Beroepsklasse,Perioden,RegioCode,RegioS
103,None,54.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0114,Emmen
104,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0388,Enkhuizen
105,None,85.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0153,Enschede
106,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0232,Epe
107,None,14.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0233,Ermelo
108,None,24.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0777,Etten-Leur
109,None,27.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1940,De Fryske Marren
110,None,12.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0779,Geertruidenberg
111,None,22.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1771,Geldrop-Mierlo
112,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1652,Gemert-Bakel
113,None,9.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0907,Gennep
114,None,14.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0784,Gilze en Rijen
115,None,28.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1924,Goeree-Overflakkee
116,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0664,Goes
117,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0785,Goirle
118,None,31.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1942,Gooise Meren
119,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0512,Gorinchem
120,None,40.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0513,Gouda
121,None,287.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0518,'s-Gravenhage (gemeente)
122,None,135.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0014,Groningen (gemeente)
123,None,7.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1729,Gulpen-Wittem
124,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0158,Haaksbergen
125,None,90.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0392,Haarlem
126,None,90.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0394,Haarlemmermeer
127,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1655,Halderberge
128,None,35.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0160,Hardenberg
129,None,26.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0243,Harderwijk
130,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0523,Hardinxveld-Giessendam
131,None,8.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0072,Harlingen
132,None,7.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0244,Hattem
133,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0396,Heemskerk
134,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0397,Heemstede
135,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0246,Heerde
136,None,27.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0074,Heerenveen
137,None,41.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0917,Heerlen
138,None,9.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1658,Heeze-Leende
139,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0399,Heiloo
140,None,29.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0400,Den Helder
141,None,20.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0163,Hellendoorn
142,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0530,Hellevoetsluis
143,None,52.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0794,Helmond
144,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0531,Hendrik-Ido-Ambacht
145,None,45.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0164,Hengelo (O.)
146,None,89.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0796,'s-Hertogenbosch
147,None,9.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0252,Heumen
148,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0797,Heusden
149,None,12.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0534,Hillegom
150,None,9.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0798,Hilvarenbeek
151,None,50.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0402,Hilversum
152,None,48.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1963,Hoeksche Waard
153,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1735,Hof van Twente
154,None,24.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1966,Het Hogeland
155,None,27.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1911,Hollands Kroon
156,None,29.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0118,Hoogeveen
157,None,39.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0405,Hoorn
158,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1507,Horst aan de Maas
159,None,29.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0321,Houten
160,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0406,Huizen
161,None,14.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0677,Hulst
162,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0353,IJsselstein
163,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1884,Kaag en Braassem
164,None,31.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0166,Kampen
165,None,7.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0678,Kapelle
166,None,37.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0537,Katwijk
167,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0928,Kerkrade
168,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1598,Koggenland
169,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0542,Krimpen aan den IJssel
170,None,31.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1931,Krimpenerwaard
171,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1659,Laarbeek
172,None,50.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1982,Land van Cuijk
173,None,18.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0882,Landgraaf
174,None,6.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0415,Landsmeer
175,None,36.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1621,Lansingerland
176,None,5.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0417,Laren (NH.)
177,None,67.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0080,Leeuwarden
178,None,73.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0546,Leiden
179,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0547,Leiderdorp
180,None,39.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1916,Leidschendam-Voorburg
181,None,43.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0995,Lelystad
182,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1640,Leudal
183,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0327,Leusden
184,None,26.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1705,Lingewaard
185,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0553,Lisse
186,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0262,Lochem
187,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0809,Loon op Zand
188,None,8.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0331,Lopik
189,None,12.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0168,Losser
190,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0263,Maasdriel
191,None,12.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1641,Maasgouw
192,None,32.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1991,Maashorst
193,None,18.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0556,Maassluis
194,None,62.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0935,Maastricht
195,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0420,Medemblik
196,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0938,Meerssen
197,None,46.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1948,Meierijstad
198,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0119,Meppel
199,None,26.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0687,Middelburg (Z.)
200,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1842,Midden-Delfland
201,None,18.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1731,Midden-Drenthe
202,None,31.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1952,Midden-Groningen
203,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1709,Moerdijk
204,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1978,Molenlanden
205,None,20.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1955,Montferland
206,None,8.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0335,Montfoort
207,None,4.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0944,Mook en Middelaar
208,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1740,Neder-Betuwe
209,None,9.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0946,Nederweert
210,None,35.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0356,Nieuwegein
211,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0569,Nieuwkoop
212,None,25.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0267,Nijkerk
213,None,101.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0268,Nijmegen
214,None,45.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1930,Nissewaard
215,None,24.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1970,Noardeast-Fryslân
216,None,4.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1695,Noord-Beveland
217,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1699,Noordenveld
218,None,26.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0171,Noordoostpolder
219,None,24.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0575,Noordwijk
220,None,12.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0820,"Nuenen, Gerwen en Nederwetten"
221,None,15.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0302,Nunspeet
222,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0579,Oegstgeest
223,None,11.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0823,Oirschot
224,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0824,Oisterwijk
225,None,19.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1895,Oldambt
226,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0269,Oldebroek
227,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0173,Oldenzaal
228,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1773,Olst-Wijhe
229,None,10.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0175,Ommen
230,None,17.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1586,Oost Gelre
231,None,30.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0826,Oosterhout
232,None,13.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0085,Ooststellingwerf
233,None,5.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0431,Oostzaan
234,None,7.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0432,Opmeer
235,None,16.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0086,Opsterland
236,None,51.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0828,Oss
237,None,21.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1509,Oude IJsselstreek
238,None,8.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0437,Ouder-Amstel
239,None,6.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM0589,Oudewater
240,None,27.0,,Werkzame beroepsbevolking,Absolute,Totaal,2022,GM1734,Overbetuwe
